type,rating,release_year
TV Show,TV-MA,2021
TV Show,TV-MA,2021
Movie,TV-MA,1993
TV Show,TV-14,2021
Movie,PG-13,2021
Movie,TV-MA,2021
TV Show,TV-MA,2021
TV Show,TV-MA,2020
TV Show,TV-14,2018
Movie,TV-14,1998
TV Show,TV-14,2021
Movie,PG-13,2010
Movie,PG-13,2013
Movie,PG-13,2013
TV Show,TV-MA,2020
TV Show,TV-Y7,2018
Movie,PG-13,2017
TV Show,TV-Y7,2021
TV Show,TV-Y7,2021
Movie,PG,1975
Movie,PG,1978
Movie,PG,1983
Movie,PG-13,1987
Movie,R,2012
Movie,R,2001
TV Show,TV-MA,2021
TV Show,TV-PG,2014
Movie,TV-14,2002
Movie,TV-14,2003
Movie,TV-PG,2004
Movie,TV-PG,2001
TV Show,TV-PG,2021
Movie,TV-14,2011
Movie,TV-PG,2008
Movie,TV-PG,2009
Movie,TV-PG,2007
Movie,TV-14,2010
Movie,TV-PG,2005
Movie,TV-PG,2006
Movie,TV-PG,2004
TV Show,TV-Y,2021
TV Show,TV-PG,1994
TV Show,TV-MA,2021
Movie,TV-MA,2018
TV Show,TV-14,2013
Movie,R,2021
TV Show,TV-14,2021
Movie,TV-MA,2020
Movie,TV-MA,2019
TV Show,TV-MA,2021
Movie,PG,2018
TV Show,TV-MA,2021
Movie,TV-MA,2018
TV Show,TV-Y7,2021
TV Show,TV-Y,2021
TV Show,TV-MA,2021
TV Show,TV-Y,2016
Movie,TV-14,2017
TV Show,TV-G,2021
Movie,G,2018
TV Show,TV-G,2021
TV Show,TV-MA,2021
TV Show,TV-Y,2021
Movie,TV-14,1994
Movie,PG,2009
Movie,TV-PG,2015
Movie,TV-14,2017
TV Show,TV-Y7,2021
Movie,R,2003
TV Show,TV-MA,2021
Movie,TV-14,2020
Movie,PG,2004
Movie,PG-13,2005
Movie,R,1982
Movie,R,2015
Movie,PG-13,1994
Movie,R,1993
Movie,R,2003
Movie,PG,2001
Movie,PG-13,2010
Movie,R,1989
Movie,TV-MA,2014
Movie,R,2015
Movie,PG-13,2007
Movie,PG-13,2011
Movie,R,1990
Movie,R,1991
Movie,R,1994
Movie,R,1998
Movie,R,1999
Movie,TV-14,2005
Movie,TV-MA,2016
TV Show,TV-Y,2016
TV Show,TV-MA,2015
Movie,PG,1986
Movie,PG,2010
Movie,TV-14,2018
Movie,PG-13,2003
Movie,TV-MA,2010
TV Show,TV-PG,1992
Movie,PG-13,1996
Movie,PG-13,2017
Movie,R,2003
Movie,PG-13,1999
Movie,R,1984
Movie,PG,2008
Movie,PG,2001
Movie,PG-13,2006
Movie,R,1997
Movie,PG-13,2017
Movie,PG-13,2003
Movie,PG-13,2015
Movie,R,2003
Movie,R,1980
Movie,PG-13,1986
Movie,TV-14,1961
Movie,R,2014
Movie,PG-13,1996
